userId,movieId,genre,rating
1,1,Action,4
1,1,Drama,3
1,1,Romance,2
1,1,Comedy,5
1,2,Action,2
1,2,Drama,5
1,2,Romance,2
1,2,Comedy,2
1,3,Action,4
1,3,Drama,4
1,3,Romance,5
1,3,Comedy,4
1,4,Action,1
1,4,Drama,1
1,4,Romance,4
1,4,Comedy,3
1,5,Action,5
1,5,Drama,2
1,5,Romance,3
1,5,Comedy,5
1,6,Action,5
1,6,Drama,2
1,6,Romance,5
1,6,Comedy,4
1,7,Action,1
1,7,Drama,1
1,7,Romance,1
1,7,Comedy,4
1,8,Action,2
1,8,Drama,5
1,8,Romance,2
1,8,Comedy,1
1,9,Action,2
1,9,Drama,3
1,9,Romance,2
1,9,Comedy,2
1,10,Action,2
1,10,Drama,1
1,10,Romance,4
1,10,Comedy,3
1,11,Action,1
1,11,Drama,1
1,11,Romance,3
1,11,Comedy,5
1,12,Action,5
1,12,Drama,5
1,12,Romance,1
1,12,Comedy,3
1,13,Action,3
1,13,Drama,2
1,13,Romance,5
1,13,Comedy,2
1,14,Action,1
1,14,Drama,1
1,14,Romance,4
1,14,Comedy,3
1,15,Action,4
1,15,Drama,2
1,15,Romance,4
1,15,Comedy,5
1,16,Action,2
1,16,Drama,3
1,16,Romance,1
1,16,Comedy,2
1,17,Action,4
1,17,Drama,4
1,17,Romance,2
1,17,Comedy,1
1,18,Action,4
1,18,Drama,4
1,18,Romance,4
1,18,Comedy,1
1,19,Action,2
1,19,Drama,3
1,19,Romance,5
1,19,Comedy,5
1,20,Action,2
1,20,Drama,1
1,20,Romance,2
1,20,Comedy,1
1,21,Action,4
1,21,Drama,5
1,21,Romance,2
1,21,Comedy,3
1,22,Action,5
1,22,Drama,3
1,22,Romance,2
1,22,Comedy,2
1,23,Action,1
1,23,Drama,4
1,23,Romance,3
1,23,Comedy,2
1,24,Action,4
1,24,Drama,2
1,24,Romance,1
1,24,Comedy,2
1,25,Action,1
1,25,Drama,3
1,25,Romance,4
1,25,Comedy,4
1,26,Action,2
1,26,Drama,4
1,26,Romance,5
1,26,Comedy,1
1,27,Action,1
1,27,Drama,5
1,27,Romance,3
1,27,Comedy,3
1,28,Action,5
1,28,Drama,4
1,28,Romance,1
1,28,Comedy,4
1,29,Action,4
1,29,Drama,2
1,29,Romance,2
1,29,Comedy,5
1,30,Action,5
1,30,Drama,3
1,30,Romance,5
1,30,Comedy,4
1,31,Action,1
1,31,Drama,5
1,31,Romance,3
1,31,Comedy,1
1,32,Action,2
1,32,Drama,1
1,32,Romance,3
1,32,Comedy,4
1,33,Action,4
1,33,Drama,5
1,33,Romance,3
1,33,Comedy,1
1,34,Action,4
1,34,Drama,4
1,34,Romance,5
1,34,Comedy,5
1,35,Action,1
1,35,Drama,2
1,35,Romance,1
1,35,Comedy,5
1,36,Action,5
1,36,Drama,1
1,36,Romance,4
1,36,Comedy,2
1,37,Action,1
1,37,Drama,3
1,37,Romance,4
1,37,Comedy,4
1,38,Action,3
1,38,Drama,4
1,38,Romance,2
1,38,Comedy,3
1,39,Action,2
1,39,Drama,3
1,39,Romance,3
1,39,Comedy,1
1,40,Action,1
1,40,Drama,3
1,40,Romance,1
1,40,Comedy,4
1,41,Action,1
1,41,Drama,2
1,41,Romance,4
1,41,Comedy,1
1,42,Action,3
1,42,Drama,3
1,42,Romance,4
1,42,Comedy,1
1,43,Action,1
1,43,Drama,3
1,43,Romance,5
1,43,Comedy,1
1,44,Action,3
1,44,Drama,5
1,44,Romance,4
1,44,Comedy,5
1,45,Action,1
1,45,Drama,1
1,45,Romance,1
1,45,Comedy,1
1,46,Action,2
1,46,Drama,4
1,46,Romance,5
1,46,Comedy,1
1,47,Action,2
1,47,Drama,5
1,47,Romance,5
1,47,Comedy,2
1,48,Action,1
1,48,Drama,4
1,48,Romance,3
1,48,Comedy,2
1,49,Action,4
1,49,Drama,4
1,49,Romance,2
1,49,Comedy,5
1,50,Action,4
1,50,Drama,3
1,50,Romance,2
1,50,Comedy,3
1,51,Action,2
1,51,Drama,2
1,51,Romance,4
1,51,Comedy,5
1,52,Action,1
1,52,Drama,5
1,52,Romance,1
1,52,Comedy,1
1,53,Action,4
1,53,Drama,1
1,53,Romance,5
1,53,Comedy,2
1,54,Action,1
1,54,Drama,1
1,54,Romance,3
1,54,Comedy,5
1,55,Action,1
1,55,Drama,2
1,55,Romance,5
1,55,Comedy,4
1,56,Action,5
1,56,Drama,5
1,56,Romance,2
1,56,Comedy,3
1,57,Action,4
